Zipcode,Nearest_Station,City,Incentive_Per_Watt,Dollar_Cap
93436,723890,Lompoc,1,50000
93437,723890,Lompoc,1,50000
90001,690150,Los Angeles,0.3,45000
90002,690150,Los Angeles,0.3,45000
90003,690150,Los Angeles,0.3,45000
90004,690150,Los Angeles,0.3,45000
90005,690150,Los Angeles,0.3,45000
90006,690150,Los Angeles,0.3,45000
90007,690150,Los Angeles,0.3,45000
90008,690150,Los Angeles,0.3,45000
90009,690150,Los Angeles,0.3,45000
90030,690150,Los Angeles,0.3,45000
90050,690150,Los Angeles,0.3,45000
90051,690150,Los Angeles,0.3,45000
90052,690150,Los Angeles,0.3,45000
90053,690150,Los Angeles,0.3,45000
90054,690150,Los Angeles,0.3,45000
90055,690150,Los Angeles,0.3,45000
90060,690150,Los Angeles,0.3,45000
90070,690150,Los Angeles,0.3,45000
90072,690150,Los Angeles,0.3,45000
90073,690150,Los Angeles,0.3,45000
90074,690150,Los Angeles,0.3,45000
90075,690150,Los Angeles,0.3,45000
90076,690150,Los Angeles,0.3,45000
90078,690150,Los Angeles,0.3,45000
90079,690150,Los Angeles,0.3,45000
90080,690150,Los Angeles,0.3,45000
90081,690150,Los Angeles,0.3,45000
90082,690150,Los Angeles,0.3,45000
90083,690150,Los Angeles,0.3,45000
90084,690150,Los Angeles,0.3,45000
90086,690150,Los Angeles,0.3,45000
90087,690150,Los Angeles,0.3,45000
90088,690150,Los Angeles,0.3,45000
90089,690150,Los Angeles,0.3,45000
90091,690150,Los Angeles,0.3,45000
90093,690150,Los Angeles,0.3,45000
90094,690150,Los Angeles,0.3,45000
90095,690150,Los Angeles,0.3,45000
90096,690150,Los Angeles,0.3,45000
90097,690150,Los Angeles,0.3,45000
90099,690150,Los Angeles,0.3,45000
90101,690150,Los Angeles,0.3,45000
90102,690150,Los Angeles,0.3,45000
90103,690150,Los Angeles,0.3,45000
90174,690150,Los Angeles,0.3,45000
90185,690150,Los Angeles,0.3,45000
90010,722869,Los Angeles,0.3,45000
90011,722869,Los Angeles,0.3,45000
90012,722869,Los Angeles,0.3,45000
90013,722869,Los Angeles,0.3,45000
90014,722869,Los Angeles,0.3,45000
90015,722900,Los Angeles,0.3,45000
90016,722900,Los Angeles,0.3,45000
90017,722900,Los Angeles,0.3,45000
90018,722900,Los Angeles,0.3,45000
90019,722900,Los Angeles,0.3,45000
90020,722900,Los Angeles,0.3,45000
90021,722900,Los Angeles,0.3,45000
90022,722900,Los Angeles,0.3,45000
90023,722900,Los Angeles,0.3,45000
90024,722900,Los Angeles,0.3,45000
90025,722900,Los Angeles,0.3,45000
90026,722900,Los Angeles,0.3,45000
90027,722900,Los Angeles,0.3,45000
90028,722900,Los Angeles,0.3,45000
90029,722900,Los Angeles,0.3,45000
90031,722900,Los Angeles,0.3,45000
90032,722900,Los Angeles,0.3,45000
90033,722900,Los Angeles,0.3,45000
90034,722900,Los Angeles,0.3,45000
90035,722900,Los Angeles,0.3,45000
90036,722900,Los Angeles,0.3,45000
90037,722900,Los Angeles,0.3,45000
90038,722900,Los Angeles,0.3,45000
90039,722900,Los Angeles,0.3,45000
90040,722900,Los Angeles,0.3,45000
90041,722900,Los Angeles,0.3,45000
90042,722900,Los Angeles,0.3,45000
90043,722900,Los Angeles,0.3,45000
90044,722900,Los Angeles,0.3,45000
90045,722900,Los Angeles,0.3,45000
90046,722900,Los Angeles,0.3,45000
90047,722900,Los Angeles,0.3,45000
90048,722900,Los Angeles,0.3,45000
90049,722900,Los Angeles,0.3,45000
90056,722900,Los Angeles,0.3,45000
90057,722900,Los Angeles,0.3,45000
90058,722900,Los Angeles,0.3,45000
90059,722900,Los Angeles,0.3,45000
90061,722900,Los Angeles,0.3,45000
90062,722900,Los Angeles,0.3,45000
90063,722900,Los Angeles,0.3,45000
90064,722900,Los Angeles,0.3,45000
90065,722900,Los Angeles,0.3,45000
90066,722900,Los Angeles,0.3,45000
90067,722900,Los Angeles,0.3,45000
90068,722900,Los Angeles,0.3,45000
90071,722900,Los Angeles,0.3,45000
90077,722900,Los Angeles,0.3,45000
90189,722900,Los Angeles,0.3,45000
90774,722970,Los Angeles,0.3,45000
91671,722970,Los Angeles,0.3,45000
95341,724830,Merced,0.5,12500
95343,724830,Merced,0.5,12500
95340,724940,Merced,0.5,12500
95344,724940,Merced,0.5,12500
95348,724940,Merced,0.5,12500
92552,722970,Moreno Valley,1,30000
92556,722970,Moreno Valley,1,30000
92551,722970,Moreno Valley,1,30000
92553,722970,Moreno Valley,1,30000
92554,722970,Moreno Valley,1,30000
92555,722970,Moreno Valley,1,30000
92557,722970,Moreno Valley,1,30000
94102,724830,San Francisco,0.5,10000
94103,724830,San Francisco,0.5,10000
94104,724830,San Francisco,0.5,10000
94105,724830,San Francisco,0.5,10000
94107,724830,San Francisco,0.5,10000
94108,724830,San Francisco,0.5,10000
94109,724830,San Francisco,0.5,10000
94110,724830,San Francisco,0.5,10000
94111,724830,San Francisco,0.5,10000
94112,724830,San Francisco,0.5,10000
94114,724830,San Francisco,0.5,10000
94115,724830,San Francisco,0.5,10000
94116,724830,San Francisco,0.5,10000
94117,724830,San Francisco,0.5,10000
94118,724830,San Francisco,0.5,10000
94121,724830,San Francisco,0.5,10000
94122,724830,San Francisco,0.5,10000
94123,724830,San Francisco,0.5,10000
94124,724830,San Francisco,0.5,10000
94127,724830,San Francisco,0.5,10000
94128,724830,San Francisco,0.5,10000
94129,724830,San Francisco,0.5,10000
94130,724830,San Francisco,0.5,10000
94131,724830,San Francisco,0.5,10000
94132,724830,San Francisco,0.5,10000
94133,724830,San Francisco,0.5,10000
94134,724830,San Francisco,0.5,10000
94143,724830,San Francisco,0.5,10000
94158,724830,San Francisco,0.5,10000
94199,724830,San Francisco,0.5,10000
95052,724830,Santa Clara,0.65,32500
95053,724830,Santa Clara,0.65,32500
95055,724830,Santa Clara,0.65,32500
95056,724830,Santa Clara,0.65,32500
95050,724940,Santa Clara,0.65,32500
95051,724940,Santa Clara,0.65,32500
95054,724940,Santa Clara,0.65,32500